Location,Sequence name
Africa,EPI_ISL_17414636|A/chicken/Nigeria/149_22VIR3286-67/2022|2022-02-02
Africa,EPI_ISL_17414637|A/chicken/Nigeria/157_22VIR3286-68/2022|2022-02-03
Africa,EPI_ISL_17414638|A/chicken/Nigeria/164A_22VIR3286-69/2022|2022-02-04
Africa,EPI_ISL_17414639|A/chicken/Nigeria/601_22VIR3286-2/2021|2021-10-05
Africa,EPI_ISL_17414640|A/chicken/Nigeria/637_22VIR3286-3/2021|2021-10-16
Africa,EPI_ISL_17414641|A/chicken/Nigeria/648_22VIR3286-5/2021|2021-10-26
Africa,EPI_ISL_17414642|A/chicken/Nigeria/653_22VIR3286-6/2021|2021-10-26
Africa,EPI_ISL_17414643|A/chicken/Nigeria/664_22VIR3286-9/2021|2021-11-05
Africa,EPI_ISL_17414644|A/chicken/Nigeria/686-H5B04_22VIR3286-16/2021|2021-12-20
Africa,EPI_ISL_17414645|A/chicken/Nigeria/698_22VIR3286-13/2021|2021-11-30
Africa,EPI_ISL_17414646|A/chicken/Nigeria/701C_22VIR3286-14/2021|2021-11-30
Africa,EPI_ISL_17414647|A/chicken/Nigeria/709_22VIR3286-15/2021|2021-12-06
Africa,EPI_ISL_17414648|A/chicken/Nigeria/716_22VIR3286-18/2021|2021-12-16
Africa,EPI_ISL_17414649|A/chicken/Nigeria/717_22VIR3286-19/2021|2021-12-16
Africa,EPI_ISL_17414650|A/chicken/Nigeria/720_22VIR3286-20/2021|2021-12-17
Africa,EPI_ISL_17414651|A/chicken/Nigeria/725_22VIR3286-22/2021|2021-12-22
Africa,EPI_ISL_17414652|A/chicken/Nigeria/732_22VIR3286-24/2021|2021-12-23
Africa,EPI_ISL_17414653|A/chicken/Nigeria/746_22VIR3286-32/2021|2021-12-29
Africa,EPI_ISL_17414654|A/chicken/Nigeria/751_22VIR3286-35/2022|2022-01-04
Africa,EPI_ISL_17414655|A/chicken/Nigeria/VRD-21-212_21VIR7423-5/2021|2021-04-03
Africa,EPI_ISL_17414656|A/chicken/Nigeria/VRD-21-334_21VIR7423-28/2021|2021-06-25
Africa,EPI_ISL_17414657|A/chicken/Nigeria/VRD-21-338_21VIR7423-29/2021|2021-06-30
Africa,EPI_ISL_17414658|A/chicken/Nigeria/VRD-21-361_21VIR7423-34/2021|2021-07-09
Africa,EPI_ISL_17414659|A/chicken/Nigeria/VRD-21-38_21VIR2288-3/2021|2021-02-05
Africa,EPI_ISL_17414661|A/duck/Nigeria/740_22VIR3286-28/2021|2021-12-28
Africa,EPI_ISL_17414662|A/goose/Nigeria/VRD-21-293_21VIR7423-26/2021|2021-05-28
Africa,EPI_ISL_17414663|A/peacock/Nigeria/VRD-21-187_21VIR7423-4/2021|2021-03-25
Africa,EPI_ISL_17414664|A/poultry/Nigeria/VRD-21-135_21VIR7423-18/2021|2021-03-10
Africa,EPI_ISL_17414665|A/poultry/Nigeria/VRD-21-219_21VIR7423-6/2021|2021-04-12
Africa,EPI_ISL_17414666|A/poultry/Nigeria/VRD-21-225_21VIR7423-8/2021|2021-04-14
