Netweight (kg)	Trade Value (US$)
5750	314140
32308	2042555
1291	78475
304	17507
17901	1213851
2562	173376
8750	448471
1500	110875
83307	889643
63316	138766
1687	42141
3750	351795
367	20399
10375	153110
3812	183432
33510	1533460
135	2321
9898	480642
2477	132692
11362	527266
1450	75022
6776	214390
1412	101127
174252	1093397
292	11765
163890	585208
3744	299687
2940	51729
3386	145008
132122	1101067
527	8334
59648	164185
38878	441425
27105	140805
5765	346248
199	70
	216144
	216144
2664	110868
1039	77490
1625	33378
58101	820995
457	90000
699	67699
33699	208499
4562	364699
18664	89699
20	399
7957	135705
1020	64521
6937	71184
28993	746014
170	1496
621	46707
5500	34768
8875	573470
13827	89573
